Date,Category,Sales,Quantity,Profit,Region,Month
1/1/2023,Electronics,1149.0142459033698,11.0,383.6642446,North,1
1/1/2023,Clothing,958.5207096486446,7.0,224.0540489598144,East,1
1/1/2023,Home Goods,1473.7638446522174,2.0,466.59309040026267,South,1
1/1/2023,Sports,1230.2304187458726,6.0,123.31046030259608,West,1
1/2/2023,Electronics,722.7751486758685,10.0,82.39614936777052,West,1
1/2/2023,Clothing,788.9968594877778,15.0,225.27107174327347,West,1
1/2/2023,Home Goods,358.11380317712815,3.0,128.1983391863219,East,1
1/2/2023,Sports,819.9238449682265,2.0,250.29807668245093,East,1
1/2/2023,Books,1284.2319463139916,7.0,363.4363531521607,West,1
1/3/2023,Clothing,633.7469050086934,10.0,171.30818821937146,North,1
1/3/2023,Home Goods,1221.539973998623,8.0,331.2000326987152,West,1
1/3/2023,Books,1232.110125050105,13.0,175.30126184188364,East,1
1/4/2023,Clothing,437.2969683380449,8.0,44.45413835689217,East,1
1/4/2023,Home Goods,589.9653583341108,19.0,184.10293967965828,East,1
1/4/2023,Books,1391.0983805195751,7.0,493.8560247347233,West,1
1/5/2023,Electronics,856.0,5.0,273.0418627671485,West,1
1/5/2023,Clothing,944.3023070008549,3.0,228.2043236692849,North,1
1/5/2023,Home Goods,719.8711477263851,14.0,178.62787558175916,North,1
1/5/2023,Sports,1235.2624562961814,15.0,281.9638562,South,1
1/5/2023,Books,585.7848927183243,7.0,142.1178978282982,North,1
1/6/2023,Electronics,916.0,4.0,340.90921960487753,East,1
1/6/2023,Clothing,1261.8115293971553,4.0,483.0922046987161,East,1
1/6/2023,Home Goods,1686.1677948871877,19.0,250.17062221410632,South,1
1/6/2023,Sports,559.9096344461423,6.0,132.67639478594808,West,1
1/6/2023,Books,1267.7888414518486,12.0,285.1928834243073,South,1
1/7/2023,Electronics,1411.558640064933,7.0,525.1683205226515,North,1
1/7/2023,Clothing,1052.6659881864498,13.0,377.0851418143964,East,1
1/7/2023,Home Goods,1038.1036718115397,5.0,319.4564836525556,South,1
1/7/2023,Sports,625.0,10.0,108.3024458690383,East,1
1/7/2023,Books,1064.4816490284263,9.0,235.4110228943994,South,1
1/8/2023,Electronics,393.30552004127946,17.0,69.29045218131121,West,1
1/8/2023,Clothing,994.434758646508,17.0,143.62231299872423,West,1
1/8/2023,Home Goods,497.94861340293306,17.0,89.64783218,South,1
1/8/2023,Sports,802.2453092690566,5.0,163.27406795481338,North,1
1/8/2023,Books,1001.1811913294208,19.0,304.5709676125519,North,1
1/9/2023,Electronics,1101.9462892559932,0.0,136.92343580350118,West,1
1/9/2023,Clothing,997.785955016628,17.0,317.7598089591847,West,1
1/9/2023,Sports,993.4357376983704,10.0,144.26203211185197,East,1
1/9/2023,Books,1511.9814861035386,19.0,473.7716266795951,East,1
1/10/2023,Clothing,1160.9008097146195,7.0,442.32526169399455,North,1
1/10/2023,Home Goods,725.5927206216168,11.0,146.80185053347503,North,1
1/10/2023,Sports,1061.695040202001,10.0,188.3261080622437,West,1
1/10/2023,Books,566.9549944911284,16.0,195.69396185304527,North,1
1/11/2023,Electronics,486.8411264424907,1.0,62.28198955031037,West,1
1/11/2023,Clothing,1035.6935475687956,5.0,383.3365063324272,East,1
1/11/2023,Home Goods,819.5808263284821,19.0,260.45188918274573,East,1
1/11/2023,Sports,746.0156929405609,1.0,218.2912743127241,East,1
1/11/2023,Books,1256.1993359484704,16.0,163.86047902463994,East,1
1/12/2023,Electronics,1536.5781571976388,18.0,227.78605751265687,South,1
1/12/2023,Clothing,186.3117622201155,9.0,20.802642658843684,West,1
1/12/2023,Home Goods,759.0467004962057,1.0,188.37118852136024,West,1
1/12/2023,Sports,1230.993207979238,7.0,389.3409658,West,1
